created_at,field1(Temperature oC ),field2(Humidity),serial
2025-09-18 08:10:00+09:00,20.98751154961332,66.72318079399909,Y1044N2VT5C
2025-09-18 08:15:01+09:00,20.182079310687325,65.21346934459557,Y1044N2VT5C
2025-09-18 08:16:01+09:00,20.021528033825,64.91253018524603,Y1044N2VT5C
2025-09-18 08:17:01+09:00,20.15314311910751,64.78605661488608,Y1044N2VT5C
2025-09-18 08:18:01+09:00,20.126783151384167,64.79084923580855,Y1044N2VT5C
2025-09-18 08:19:01+09:00,20.19816224562832,64.94564622319112,Y1044N2VT5C
2025-09-18 08:20:01+09:00,20.27250445070613,64.89738630130962,Y1044N2VT5C
2025-09-18 08:21:01+09:00,20.1744124318406,64.91378121086696,Y1044N2VT5C
2025-09-18 08:22:01+09:00,20.230257988044187,64.60417105174389,Y1044N2VT5C
2025-09-18 08:23:01+09:00,20.28577721382916,64.88478785010057,Y1044N2VT5C
2025-09-18 08:24:01+09:00,20.468498455495595,65.02430788981465,Y1044N2VT5C
2025-09-18 08:25:01+09:00,20.31441734073522,64.77196103418505,Y1044N2VT5C
2025-09-18 08:26:01+09:00,20.39572480821409,65.30001420964868,Y1044N2VT5C
2025-09-18 08:27:01+09:00,20.427010619318946,65.2106618445129,Y1044N2VT5C
2025-09-18 08:28:01+09:00,20.33865633607017,64.91376630338497,Y1044N2VT5C
2025-09-18 08:29:01+09:00,20.340237035790384,64.98497798752761,Y1044N2VT5C
2025-09-18 08:30:01+09:00,20.30673497272478,64.9889069277413,Y1044N2VT5C
2025-09-18 08:31:01+09:00,20.375413170288823,64.76130181624788,Y1044N2VT5C
2025-09-18 08:32:01+09:00,20.43859594221104,65.36479879815197,Y1044N2VT5C
2025-09-18 08:33:01+09:00,20.40307747986046,65.06892587022354,Y1044N2VT5C
2025-09-18 08:34:01+09:00,20.45279404904108,65.08951905204808,Y1044N2VT5C
2025-09-18 08:35:01+09:00,20.3723742416196,65.18848993485376,Y1044N2VT5C
2025-09-18 08:36:01+09:00,20.53457119374028,65.38943583361883,Y1044N2VT5C
